Plot,Year,Type,F_est,Mother,Father,Shading,X_axis,Y_axis,Border,DTA,DTS,PlantHt,LeafLen,LeafWd,TillNum,EarsPerSideBran,LatBranNodeNum,LatBranLen,LBIL,EarLen,SeedsPerRow,FC_Width_mm,SeedsPerEar,EarInternodeLen,PredSeedPerPlant,PredTotalSeedWeight,SeedWeight,CulmDiam,BranNum,MalePerc,Clustering,ASI,FruitcaseWt,ProporYoked,ProporNonShatter,ProporPairedSpikelets,Perc_Germ,FC_Length_mm,FC_LWR,FC_Triangularity,com,dr,TypeYear
A1658,2014,Outcross,0.0041404,PC_N11_ID1,PC_J50_ID1,744.76,14,89,E,65,64,115,46,5.7,8,18,3,750,250,51,4.25,4.185807,8.5,6,4794,156,0.0325,1.37,5,100,0.024,1,0.065,0,0,0,100,6.657608,1.597361,1.427871105,PC_J50_ID1xPC_N11_ID1,-1,Outcross2014
A1662,2014,Outcross,-0.0326539,PC_L12_ID1,PC_N07_ID1,1705.2,14,93,E,NA,NA,137,49.5,5.3,4,6,3,380,126.67,45.5,4.75,3.836749,9.5,4.79,3690,79,0.0213,1.42,8,100,0.0158,NA,0.0426,0,0,0,95,5.465143,1.429291,1.397375061,PC_L12_ID1xPC_N07_ID1,1,Outcross2014
A1664,2014,Outcross,0.0058712,PC_N09_ID1,PC_J04_ID1,2132.94,14,95,E,67,67,142,61,7.6,9,15,3,430,143.33,43.5,4.25,4.343766,8.5,5.12,6045,212,0.035,1.74,10,100,0.0349,0,0.07,0,0,0,100,6.463474,1.496218,1.45348567,PC_J04_ID1xPC_N09_ID1,-1,Outcross2014
A1665,2014,Outcross,-0.0304176,PC_K02_ID1,PC_L12_ID1,2448.34,14,96,E,62,63,112,53.5,5.6,8,12,3,440,146.67,51,5.25,3.626274,10.5,4.86,5441,122,0.0225,1.55,6,100,0.0273,-1,0.045,0,0,0,85,5.758027,1.595125,1.417198554,PC_K02_ID1xPC_L12_ID1,1,Outcross2014
A1667,2014,Self,0.6181406,PC_J07_ID2,PC_J07_ID2,2318.38,14,98,E,68,64,117,37.5,5.1,4,9,2,320,160,31.5,3,4.302956,6,5.25,2634,81,0.0309,1.27,7,100,0.0281,4,0.0617,0.026,0.09,0,95,6.110681,1.42736,1.384296942,PC_J07_ID2xPC_J07_ID2,1,Self2014
A1668,2014,Self,0.3890153,PC_K60_ID1,PC_K60_ID1,1886.52,14,99,E,63,57,117,42,3.9,7,10,3,630,210,47.5,4.5,3.680541,9,5.28,3795,85,0.0225,1.3,6,100,0.0159,6,0.0449,0,0,0,100,6.368661,1.743871,1.458007938,PC_K60_ID1xPC_K60_ID1,1,Self2014
A1670,2014,Outcross,-0.07374156,PC_I50_ID1,PC_I06_ID1,1565.12,14,101,E,69,65,114,51.5,5,4,11,2,510,255,44,4.75,3.525475,9.5,4.63,4502,88,0.0195,1.34,8,100,0.0216,4,0.0391,0,0,0,100,6.199065,1.769393,1.379187487,PC_I06_ID1xPC_I50_ID1,-1,Outcross2014
A1672,2014,Self,0.544609,PC_J13_ID1,PC_J13_ID1,1210.84,14,103,E,63,63,84,57.5,4.4,12,7,2,410,205,45,4.5,3.95127,9,5,4782,110,0.0229,1.01,8,100,0.0171,0,0.0459,0,0,0,90,6.019229,1.531622,1.413110356,PC_J13_ID1xPC_J13_ID1,1,Self2014
A1673,2014,Self,0.4270906,PC_M05_ID1,PC_M05_ID1,1695.96,14,104,E,67,62,123,45,4.8,4,11,3,650,216.67,43,4,3.633035,8,5.38,3358,77,0.0229,1.27,7,100,0.0169,5,0.0457,0,0.225,0,10,6.175568,1.705084,1.483448604,PC_M05_ID1xPC_M05_ID1,1,Self2014
A1674,2014,Self,0.402258,PC_I06_ID1,PC_I06_ID1,1201.49,14,105,E,78,69,137,43,4.1,5,11,3,350,116.67,40.5,4,3.880783,8,5.06,4599,109,0.0236,1.37,10,100,0.0314,9,0.0472,0,0,0,100,6.327658,1.636405,1.356657475,PC_I06_ID1xPC_I06_ID1,1,Self2014
A1678,2014,Self,0.4040513,PC_J04_ID1,PC_J04_ID1,1807.59,14,109,E,67,64,106,42.5,6.5,6,13,3,380,126.67,58,5,4.903258,10,5.8,6019,265,0.0441,1.64,9,100,0.0342,3,0.0881,0.031,0.023,0,90,7.127603,1.463651,1.364457363,PC_J04_ID1xPC_J04_ID1,1,Self2014
A1683,2014,Self,0.7051898,PC_N14_ID2,PC_N14_ID2,2638.48,15,109,E,64,59,98,50,3.8,6,4,2,330,165,42.5,3.75,3.799212,7.5,5.67,2687,67,0.0251,1.44,7,100,0.0121,5,0.0501,0,0,0.017,75,6.49083,1.717341,1.402081549,PC_N14_ID2xPC_N14_ID2,1,Self2014
A1685,2014,Outcross,-0.0125023,PC_N11_ID1,PC_J50_ID1,1628.5,15,107,E,63,61,120,43,4.8,17,10,2,430,215,50.5,5,3.803688,10,5.05,6729,162,0.0241,1.22,8,100,0.0233,2,0.0481,0,0,0,90,5.928001,1.566852,1.390486684,PC_J50_ID1xPC_N11_ID1,-1,Outcross2014
A1692,2014,Self,0.5364877,PC_K55_ID2,PC_K55_ID2,859.51,15,100,E,77,69,130,42,5.8,8,10,3,390,130,52,5.5,4.202654,11,4.73,6818,209,0.0307,1.57,11,100,0.0256,8,0.0613,0,0.037,0,85,5.869356,1.403876,1.426171398,PC_K55_ID2xPC_K55_ID2,1,Self2014
A1696,2014,Outcross,-0.01329863,PC_K02_ID1,PC_M05_ID1,1763.7,15,96,E,60,61,122,54.5,4.9,14,10,3,590,196.67,66.5,6.75,3.769301,13.5,4.93,8763,219,0.025,1.71,10,100,0.0169,-1,0.0501,0,0.004,0,90,5.830272,1.551132,1.435371319,PC_K02_ID1xPC_M05_ID1,1,Outcross2014
A1699,2014,Outcross,-0.0074533,PC_I11_ID2,PC_O08_ID2,2057.88,15,93,E,63,64,144,48,5.8,9,11,3,480,160,51.5,4.5,4.247174,9,5.72,5764,190,0.0329,1.77,11,100,0.0229,-1,0.0658,0,0,0,85,6.91037,1.637041,1.386836207,PC_I11_ID2xPC_O08_ID2,1,Outcross2014
A1700,2014,Outcross,-0.0100659,PC_I52_ID1,PC_L08_ID1,1729.43,15,92,E,57,54,125,43.5,4.8,11,9,2,380,190,50.5,4.75,4.300531,9.5,5.32,5113,161,0.0316,1.22,7,100,0.0237,3,0.0632,0,0,0,85,6.30929,1.471462,1.401608941,PC_I52_ID1xPC_L08_ID1,1,Outcross2014
A1703,2014,Self,0.5060725,PC_J13_ID1,PC_J13_ID1,1750.7,15,89,E,68,66,112,37,4.6,4,7,2,370,185,42.5,4.5,3.778731,9,4.72,3712,85,0.0228,1.2,8,100,0.0189,2,0.0456,0,0,0.013,100,6.383611,1.700621,1.400661129,PC_J13_ID1xPC_J13_ID1,1,Self2014
A1704,2014,Outcross,-0.0163055,PC_N10_ID2,PC_J14_ID2,1288.25,15,88,E,66,65,124,NA,6.1,12,18,3,700,233.33,41.5,4.25,4.113957,8.5,4.88,6108,158,0.0259,1.59,8,100,0.0257,1,0.0517,0,0,0,90,5.776764,1.409402,1.381298823,PC_J14_ID2xPC_N10_ID2,-1,Outcross2014
A1712,2014,Self,0.3834838,PC_I55_ID2,PC_I55_ID2,859.16,15,80,E,83,81,130,63.5,6,15,12,4,770,192.5,52,5.25,4.056625,10.5,4.95,6797,192,0.0283,1.71,9,100,0.0156,2,0.0566,0,0,0,100,6.379802,1.581832,1.416412766,PC_I55_ID2xPC_I55_ID2,1,Self2014
A1719,2014,Self,0.6095124,PC_N48_ID1,PC_N48_ID1,1202.54,15,73,E,73,66,96,51,5.4,7,7,3,270,90,45,3.5,4.358526,7,6.43,2782,92,0.0331,1.27,5,80,0.0259,7,0.0662,0,0,0,95,7.832704,1.816679,1.372739786,PC_N48_ID1xPC_N48_ID1,1,Self2014
A1724,2014,Self,0.5577772,PC_I06_ID1,PC_I06_ID1,940.68,15,68,E,76,69,133,46.5,3.2,7,10,3,680,226.67,36,4,3.673524,8,4.5,3515,71,0.0202,1.35,7,100,0.0147,7,0.0405,0,0,0,95,6.057947,1.657431,1.355756063,PC_I06_ID1xPC_I06_ID1,1,Self2014
A1726,2014,Self,0.564188,PC_I50_ID2,PC_I50_ID2,1819.3,15,66,E,80,73,140,49.5,4.2,6,7,3,510,170,50,5,3.726619,10,5,4171,93,0.0224,1.24,8,80,0.0137,7,0.0448,0,0,0,100,5.811928,1.571117,1.386928948,PC_I50_ID2xPC_I50_ID2,1,Self2014
A1727,2014,Self,0.5463434,PC_J13_ID1,PC_J13_ID1,2003.54,15,65,E,80,72,121,48.5,5.6,7,10,3,530,176.67,54,5.75,3.822131,11.5,4.7,6010,139,0.0231,1.45,9,100,0.0189,8,0.0462,0,0,0,90,5.770471,1.514148,1.44943092,PC_J13_ID1xPC_J13_ID1,1,Self2014
A1729,2014,Outcross,-0.02935284,PC_K54_ID1,PC_M05_ID1,2334.81,15,63,E,71,69,94,58,4.2,6,7,3,510,170,46,4.5,3.931645,9,5.11,3509,88,0.0252,1.39,7,100,0.0137,2,0.0503,0,0.033,0,100,5.516821,1.406616,1.454550563,PC_K54_ID1xPC_M05_ID1,1,Outcross2014
A1730,2014,Self,0.4173816,PC_L12_ID2,PC_L12_ID2,2567.52,15,62,E,63,63,100,32.5,3.4,2,7,3,410,136.67,33.5,3.5,3.481719,7,4.79,2230,42,0.0188,1,6,100,0.0171,0,0.0376,0,0,0,0,5.792327,1.67369,1.449242252,PC_L12_ID2xPC_L12_ID2,1,Self2014
A1731,2014,Outcross,-0.02810997,PC_N14_ID2,PC_L12_ID2,2149.24,15,61,E,55,52,100,36,4.9,9,7,2,390,195,31,3,3.847089,6,5.17,2926,74,0.0254,1.6,8,100,0.0179,3,0.0507,0,0,0,0,6.129829,1.597363,1.419332085,PC_L12_ID2xPC_N14_ID2,-1,Outcross2014
A1733,2014,Outcross,-0.0180369,PC_J51_ID1,PC_K60_ID1,2343.99,15,59,E,57,56,130,36,5.5,5,11,3,470,156.67,45.5,4.5,3.828264,9,5.06,4721,106,0.0224,1.25,9,100,0.0234,1,0.0447,0,0,0,90,5.951163,1.570669,1.398932068,PC_J51_ID1xPC_K60_ID1,1,Outcross2014
A1734,2014,Outcross,-0.0851206,PC_I05_ID1,PC_L12_ID1,1750.22,15,58,E,62,62,118,44.5,7.4,12,11,3,400,133.33,45.5,4.75,4.160547,9.5,4.79,6164,163,0.0265,1.49,9,100,0.0275,0,0.053,0,0,0,85,6.171157,1.49313,1.349458049,PC_I05_ID1xPC_L12_ID1,1,Outcross2014
A1739,2014,Outcross,-0.02707857,PC_N04_ID1,PC_I06_ID1,1500.85,15,53,E,70,66,130,46.5,4.6,11,11,3,400,133.33,46.5,4.75,3.763866,9.5,4.89,6014,124,0.0206,1.91,9,100,0.0275,4,0.0412,0.015,0.012,0,100,5.9436,1.59423,1.362917673,PC_I06_ID1xPC_N04_ID1,-1,Outcross2014
A1745,2014,Outcross,-0.03620285,PC_N04_ID1,PC_N13_ID1,1810.44,15,47,E,65,65,123,54.5,6.3,5,12,3,550,183.33,50,4.75,4.225223,9.5,5.26,4789,143,0.0298,1.52,8,100,0.0218,0,0.0597,0,0.006,0,100,6.334315,1.506173,1.34900171,PC_N04_ID1xPC_N13_ID1,1,Outcross2014
A1747,2014,Outcross,-0.01160586,PC_N03_ID2,PC_I50_ID2,2407.81,15,45,E,63,63,143,50,5.1,3,11,2,400,200,39,4.25,3.556861,8.5,4.59,4304,81,0.0189,1.33,9,90,0.0275,0,0.0378,0,0,0,100,5.616296,1.585171,1.396663266,PC_I50_ID2xPC_N03_ID2,-1,Outcross2014
A1748,2014,Outcross,-0.01957345,PC_K60_ID1,PC_J04_ID1,2052.88,15,44,E,61,59,112,34.5,5.7,10,11,3,360,120,51,5,4.299072,10,5.1,6249,182,0.0291,1.25,9,100,0.0306,2,0.0581,0,0,0,95,6.279373,1.467195,1.365330292,PC_J04_ID1xPC_K60_ID1,-1,Outcross2014
A1751,2014,Outcross,-0.0170748,PC_L08_ID1,PC_I58_ID1,1769.25,15,41,E,57,55,103,43,5,9,14,2,200,100,46.5,4.5,4.165392,9,5.17,6355,186,0.0292,1.64,9,100,0.07,2,0.0584,0,0,0,95,6.832163,1.647393,1.403179072,PC_I58_ID1xPC_L08_ID1,-1,Outcross2014
A1754,2014,Self,0.5508451,PC_I55_ID2,PC_I55_ID2,1717.89,15,38,E,77,77,157,42.5,4.6,8,8,3,370,123.33,51.5,5.25,4.12843,10.5,4.9,6085,163,0.0268,1.55,11,100,0.0216,0,0.0535,0,0,0,95,6.225218,1.515509,1.376683087,PC_I55_ID2xPC_I55_ID2,1,Self2014
A1756,2014,Outcross,-0.0079494,PC_J04_ID1,PC_N07_ID1,1714.03,15,36,E,62,62,133,42.5,4.5,8,8,2,410,205,47,4,3.979499,8,5.88,4139,111,0.0268,1.66,9,100,0.0195,0,0.0536,0,0,0,95,6.481195,1.643166,1.432148817,PC_J04_ID1xPC_N07_ID1,1,Outcross2014
A1764,2014,Outcross,-0.01048857,PC_I11_ID2,PC_K55_ID2,1195.19,15,28,E,62,57,123,37,6.9,7,6,2,320,160,51.5,4.25,4.444118,8.5,6.06,4266,150,0.0353,1.46,10,0,0.0188,5,0.0706,0,0.004,0.004,85,6.474203,1.46891,1.386888665,PC_I11_ID2xPC_K55_ID2,1,Outcross2014
A1766,2014,Self,0.4306223,PC_L56_ID1,PC_L56_ID1,2118.98,15,26,E,NA,97,28,32,3,0,1,1,20,20,39,4,NA,8,4.88,NA,NA,NA,0.48,NA,0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC_L56_ID1xPC_L56_ID1,1,Self2014
A1768,2014,Outcross,-0.0440222,PC_N07_ID2,PC_I50_ID2,1787.37,15,24,E,63,59,140,50,6.2,5,20,4,610,152.5,39,3.5,3.643866,7,5.57,5257,122,0.0232,1.85,11,100,0.0328,4,0.0464,0,0,0,95,5.932376,1.637339,1.442812175,PC_I50_ID2xPC_N07_ID2,-1,Outcross2014
A1769,2014,Outcross,0.022738,PC_K55_ID2,PC_O08_ID2,2251.96,15,23,E,60,59,110,50.5,5.7,8,15,3,480,160,46.5,4.25,4.036393,8.5,5.47,5366,134,0.025,1.64,8,100,0.0313,1,0.0501,0,0,0,85,6.239777,1.5579,1.359162502,PC_K55_ID2xPC_O08_ID2,1,Outcross2014
A1772,2014,Outcross,-0.0247905,PC_N13_ID1,PC_N07_ID1,1841.04,15,20,E,65,64,154,53,6.1,8,14,3,520,173.33,49.5,4.5,4.347041,9,5.5,5904,198,0.0336,1.96,10,100,0.0269,1,0.0672,0,0,0,90,6.39703,1.480618,1.386527319,PC_N07_ID1xPC_N13_ID1,-1,Outcross2014
A1775,2014,Outcross,0.0224242,PC_J48_ID2,PC_N07_ID2,1683.64,15,17,E,63,63,128,41.5,5.9,12,12,3,600,200,39.5,3.5,3.718446,7,5.64,4237,95,0.0225,1.43,8,100,0.02,0,0.045,0,0,0,95,5.685319,1.536741,1.422261842,PC_J48_ID2xPC_N07_ID2,1,Outcross2014
A1777,2014,Outcross,-0.01365304,PC_I52_ID1,PC_I06_ID1,2394.52,15,15,E,59,57,110,45,5.8,9,7,2,300,150,44.5,4,4.099781,8,5.56,4040,108,0.0266,1.36,8,100,0.0233,2,0.0532,0.043,0.058,0.004,90,6.285862,1.541943,1.363493495,PC_I06_ID1xPC_I52_ID1,-1,Outcross2014
A1778,2014,Outcross,-0.01763743,PC_N03_ID2,PC_L48_ID2,2591.55,15,14,E,78,71,164,48.5,4.1,5,7,2,330,165,49.5,4.75,3.929298,9.5,5.21,4659,122,0.0261,1.31,10,100,0.0212,7,0.0523,0,0.003,0,90,5.871103,1.50215,1.435361755,PC_L48_ID2xPC_N03_ID2,-1,Outcross2014
A1779,2014,Self,0.259131,PC_J14_ID2,PC_J14_ID2,2541.25,15,13,E,81,79,128,47,4.9,9,10,3,420,140,42,4,4.1331,8,5.25,5039,130,0.0258,1.5,11,100,0.0238,2,0.0516,0,0,0,95,5.825104,1.41747,1.361759747,PC_J14_ID2xPC_J14_ID2,1,Self2014
A1780,2014,Self,0.3924204,PC_N07_ID2,PC_N07_ID2,2367.75,15,12,E,66,65,135,41,4.9,8,9,3,440,146.67,41,3.5,3.935454,7,5.86,3926,102,0.0259,1.62,10,100,0.0205,1,0.0518,0,0,0,100,6.325596,1.61468,1.450380511,PC_N07_ID2xPC_N07_ID2,1,Self2014
A1800,2014,Outcross,-0.0138522,PC_N48_ID1,PC_I58_ID1,1499.82,16,7,E,61,57,128,45,6.1,9,12,3,520,173.33,43,4,4.610767,8,5.38,4803,184,0.0383,1.77,9,100,0.0231,4,0.0766,0,0,0,95,6.684558,1.45411,1.388675971,PC_I58_ID1xPC_N48_ID1,-1,Outcross2014
A1802,2014,Self,0.502273,PC_I08_ID1,PC_I08_ID1,2126.56,16,9,E,64,57,124,47.5,5.7,5,12,2,370,185,47.5,4,4.401288,8,5.94,4527,161,0.0356,1.57,9,0,0.0324,7,0.0712,0.086,0.1,0,0,7.599285,1.738462,1.37895446,PC_I08_ID1xPC_I08_ID1,1,Self2014
A1803,2014,Outcross,-0.0292351,PC_M58_ID1,PC_N13_ID1,2435.22,16,10,E,63,57,130,50,5.6,5,5,2,410,205,50,5.25,4.418415,10.5,4.76,3952,115,0.0291,1.68,8,10,0.0122,6,0.0582,0,0,0,90,6.425367,1.460038,1.31982881,PC_M58_ID1xPC_N13_ID1,1,Outcross2014
A1806,2014,Outcross,-0.04248357,PC_N58_ID2,PC_O08_ID2,1709.29,16,13,E,64,62,150,52,6.6,12,16,3,650,216.67,51,4.75,3.906107,9.5,5.37,6757,194,0.0287,1.8,9,100,0.0246,2,0.0575,0,0,0,100,6.593626,1.691296,1.440589216,PC_N58_ID2xPC_O08_ID2,1,Outcross2014
A1807,2014,Self,0.6530771,PC_M58_ID1,PC_M58_ID1,2558.43,16,14,E,NA,63,56,38,5.4,1,3,1,30,30,32,3.25,NA,6.5,4.92,1337,NA,NA,1.15,3,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC_M58_ID1xPC_M58_ID1,1,Self2014
A1811,2014,Self,0.5360287,PC_N07_ID1,PC_N07_ID1,2095.28,16,18,E,64,61,118,40.5,4.5,11,14,3,530,176.67,27.5,2.75,4.087514,5.5,5,3559,85,0.0239,1.48,8,100,0.0264,3,0.0477,0,0,0,10,5.850274,1.446929,1.393877173,PC_N07_ID1xPC_N07_ID1,1,Self2014
A1812,2014,Self,0.6517501,PC_J48_ID2,PC_J48_ID2,2876.5,16,19,E,64,61,100,35.5,5.2,3,6,2,50,25,48.5,4.5,3.608793,9,5.39,3924,81,0.0207,1,8,0,0.12,3,0.0415,0,0,0,10,6.406859,1.789726,1.411909632,PC_J48_ID2xPC_J48_ID2,1,Self2014
A1813,2014,Self,0.4525381,PC_N14_ID2,PC_N14_ID2,2671.87,16,20,E,NA,61,110,48.5,4.3,11,12,3,510,170,46.5,4.25,4.089362,8.5,5.47,5157,139,0.027,1.23,8,100,0.0235,NA,0.0541,0,0,0,5,6.034283,1.479681,1.369703862,PC_N14_ID2xPC_N14_ID2,1,Self2014
A1814,2014,Outcross,-0.00820696,PC_I55_ID2,PC_L06_ID2,3014.25,16,21,E,64,61,68,47,4.7,5,5,1,120,120,50,5.5,NA,11,4.55,4753,NA,NA,1.35,8,100,0.0417,3,NA,NA,NA,NA,NA,NA,NA,NA,PC_I55_ID2xPC_L06_ID2,1,Outcross2014
A1816,2014,Outcross,-0.02204543,PC_J50_ID1,PC_N13_ID1,2104.92,16,23,E,64,65,130,61,5.6,10,16,4,650,162.5,49,4.5,4.233864,9,5.44,5871,205,0.0349,1.52,8,100,0.0246,-1,0.0699,0,0.008,0,100,6.671556,1.586164,1.374885594,PC_J50_ID1xPC_N13_ID1,1,Outcross2014
A1817,2014,Self,0.5310324,PC_J12_ID1,PC_J12_ID1,2171.16,16,24,E,64,63,100,45,3.8,4,6,3,530,176.67,31.5,3.5,3.777537,7,4.5,1945,37,0.0188,1,5,100,0.0113,1,0.0376,0,0.011,0,95,5.935348,1.582694,1.364784289,PC_J12_ID1xPC_J12_ID1,1,Self2014
A1820,2014,Self,0.6496596,PC_I08_ID1,PC_I08_ID1,1783.47,16,27,E,56,54,95,48.5,4.4,4,5,2,160,80,50,4.25,3.663231,8.5,5.88,3010,83,0.0275,1.49,6,0,0.0313,2,0.055,0,0,0,95,7.31139,2.003119,1.438927947,PC_I08_ID1xPC_I08_ID1,1,Self2014
A1821,2014,Outcross,-0.0069264,PC_N09_ID1,PC_N07_ID1,1708.34,16,28,E,65,62,136,47,5.1,7,9,2,360,180,37.5,3.5,4.217474,7,5.36,3542,102,0.0289,1.37,8,100,0.025,3,0.0577,0,0,0,100,6.255437,1.493664,1.408810806,PC_N07_ID1xPC_N09_ID1,-1,Outcross2014
A1822,2014,Outcross,-0.00423163,PC_N09_ID1,PC_J04_ID1,1825.16,16,29,E,66,64,147,43.5,6.2,7,6,2,310,155,42.5,4.5,4.37925,9,4.72,4044,111,0.0273,1.72,8,100,0.0194,2,0.0547,0,0,0,0,6.42126,1.477187,1.364401521,PC_J04_ID1xPC_N09_ID1,-1,Outcross2014
A1823,2014,Self,0.5393447,PC_O08_ID2,PC_O08_ID2,2133.74,16,30,E,71,70,110,52,5.3,5,12,3,380,126.67,45.5,4,3.889503,8,5.69,4076,120,0.0294,1.33,7,100,0.0316,1,0.0587,0,0,0,100,7.173452,1.86039,1.405661904,PC_O08_ID2xPC_O08_ID2,1,Self2014
A1824,2014,Outcross,-0.02550393,PC_I11_ID2,PC_K55_ID2,1722.96,16,31,E,67,65,122,45.5,4.9,9,8,2,310,155,42.5,4,4.507632,8,5.31,4419,144,0.0326,1.24,9,100,0.0258,2,0.0651,0,0,0,100,6.293579,1.404594,1.355390138,PC_I11_ID2xPC_K55_ID2,1,Outcross2014
A1827,2014,Outcross,-0.04365915,PC_I05_ID1,PC_L12_ID1,2180.26,16,34,E,65,65,109,54,8.1,8,13,3,550,183.33,59.5,5.25,4.028955,10.5,5.67,5737,152,0.0265,1.73,7,100,0.0236,0,0.0531,0,0,0,90,6.223364,1.567047,1.410222008,PC_I05_ID1xPC_L12_ID1,1,Outcross2014
A1828,2014,Self,0.3762217,PC_N57_ID2,PC_N57_ID2,2898.95,16,35,E,83,78,123,42,5.3,4,5,2,280,140,42.5,3.75,3.746619,7.5,5.67,3300,95,0.0289,1.28,10,20,0.0179,5,0.0578,0,0,0,85,7.074415,1.895453,1.442283247,PC_N57_ID2xPC_N57_ID2,1,Self2014
A1829,2014,Self,0.6092491,PC_O08_ID2,PC_O08_ID2,2565.98,16,36,E,63,63,115,54,4.7,13,8,3,410,136.67,49.5,4,4.361448,8,6.19,4554,167,0.0366,1.53,8,100,0.0195,0,0.0732,0,0,0,90,7.460784,1.718487,1.402486859,PC_O08_ID2xPC_O08_ID2,1,Self2014
A1830,2014,Self,0.6832945,PC_L12_ID1,PC_L12_ID1,3333.37,16,37,E,66,63,89,38,4.5,6,6,2,210,105,44.5,4.25,3.588542,8.5,5.24,3385,64,0.0188,1.11,6,100,0.0286,3,0.0376,0,0.009,0,90,5.845452,1.633331,1.441458192,PC_L12_ID1xPC_L12_ID1,1,Self2014
A1831,2014,Outcross,-0.0174761,PC_I58_ID1,PC_L56_ID1,3402.37,16,38,E,NA,77,27,25,3.5,1,1,NA,NA,NA,36,3,NA,6,6,NA,NA,NA,0.61,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC_I58_ID1xPC_L56_ID1,1,Outcross2014
A1832,2014,Self,0.6492642,PC_I58_ID1,PC_I58_ID1,3399.7,16,39,E,67,63,108,40.5,5,6,8,3,400,133.33,33.5,3.25,4.031233,6.5,5.15,2992,82,0.0274,1.54,8,10,0.02,4,0.0547,0.019,0.047,0.028,85,6.322111,1.573151,1.429630519,PC_I58_ID1xPC_I58_ID1,1,Self2014
A1833,2014,Outcross,-0.00729495,PC_L12_ID1,PC_I52_ID1,2821.64,16,40,E,62,62,132,37.5,4.6,9,8,3,380,126.67,59,6,3.724046,12,4.92,6467,169,0.0261,1.49,9,100,0.0211,0,0.0523,0,0,0,90,6.006522,1.619778,1.405526152,PC_I52_ID1xPC_L12_ID1,-1,Outcross2014
A1834,2014,Outcross,-0.0312311,PC_J04_ID1,PC_I06_ID1,3289.58,16,41,E,63,57,135,40.5,3.8,6,6,2,240,120,48.5,4.75,4.010247,9.5,5.11,4763,137,0.0288,1.28,10,100,0.025,6,0.0576,0,0,0,85,7.044139,1.765957,1.370237388,PC_I06_ID1xPC_J04_ID1,-1,Outcross2014
A1837,2014,Outcross,-0.0177313,PC_J13_ID1,PC_L12_ID1,2714.42,16,44,E,62,62,114,35.5,4.8,7,5,2,290,145,46,4.5,3.826157,9,5.11,4125,104,0.0251,1.26,9,100,0.0172,0,0.0502,0,0,0.012,0,5.98836,1.573188,1.448178715,PC_J13_ID1xPC_L12_ID1,1,Outcross2014
A1838,2014,Outcross,0.0051594,PC_M58_ID1,PC_N09_ID1,2653.42,16,45,E,62,63,130,51,6.4,6,12,3,410,136.67,38.5,4.25,3.744002,8.5,4.53,4648,100,0.0216,1.36,8,100,0.0293,-1,0.0431,0,0,0,95,5.779567,1.570539,1.395978939,PC_M58_ID1xPC_N09_ID1,1,Outcross2014
A1839,2014,Outcross,-0.003721,PC_K02_ID1,PC_N09_ID1,2148.37,16,46,E,62,62,136,51.5,6.3,4,15,3,480,160,46,4.25,3.727264,8.5,5.41,5291,135,0.0256,1.66,10,100,0.0313,0,0.0512,0,0,0,95,6.371213,1.722092,1.446761654,PC_K02_ID1xPC_N09_ID1,1,Outcross2014
A1841,2014,Outcross,-0.00601363,PC_J48_ID2,PC_N07_ID2,1542.68,16,48,E,62,60,114,44,5,6,10,3,650,216.67,40,4,3.712138,8,5,3434,83,0.0242,1.26,7,100,0.0154,2,0.0484,0,0,0,100,6.278512,1.696588,1.436032545,PC_J48_ID2xPC_N07_ID2,1,Outcross2014
A1843,2014,Outcross,-0.0031583,PC_N48_ID1,PC_L56_ID1,1798.23,16,50,E,57,55,120,47,5.6,6,11,2,380,190,45,4,3.992065,8,5.63,4898,128,0.0262,1.54,11,80,0.0289,2,0.0524,0,0,0,100,6.667962,1.690032,1.377438288,PC_L56_ID1xPC_N48_ID1,-1,Outcross2014
A1844,2014,Self,0.4278369,PC_M59_ID1,PC_M59_ID1,2185.85,16,51,E,76,70,126,34,6.5,4,11,3,250,83.33,41,4.25,3.923626,8.5,4.82,4915,103,0.021,1.73,10,100,0.044,6,0.042,0,0.011,0,100,6.094968,1.563537,1.36926598,PC_M59_ID1xPC_M59_ID1,1,Self2014
A1845,2014,Self,0.4930682,PC_I55_ID2,PC_I55_ID2,2149.42,16,52,E,77,76,143,50,4.9,4,8,3,330,110,50,4.75,3.974947,9.5,5.26,4718,118,0.025,1.62,10,90,0.0242,1,0.05,0,0,0,100,6.493659,1.640461,1.358538177,PC_I55_ID2xPC_I55_ID2,1,Self2014
A1846,2014,Self,0.6161978,PC_J04_ID1,PC_J04_ID1,2408.8,16,53,E,78,69,108,40,4.1,3,3,2,310,155,53.5,5,4.226681,10,5.35,2925,100,0.0342,0.88,7,50,0.0097,9,0.0684,0,0,0,NA,6.876647,1.640853,1.428176653,PC_J04_ID1xPC_J04_ID1,1,Self2014
A1847,2014,Outcross,0.0092148,PC_N07_ID2,PC_J48_ID2,2070.32,16,54,E,63,63,126,39,4.9,4,8,3,220,73.33,48,4.75,3.595718,9.5,5.05,4660,96,0.0206,1.26,9,100,0.0364,0,0.0412,0,0.021,0,100,6.016988,1.683538,1.42105888,PC_J48_ID2xPC_N07_ID2,-1,Outcross2014
