Plot,Year,Type,F_est,Mother,Father,Shading,X_axis,Y_axis,Border,DTA,DTS,PlantHt,LeafLen,LeafWd,TillNum,EarsPerSideBran,LatBranNodeNum,LatBranLen,LBIL,EarLen,SeedsPerRow,FC_Width_mm,SeedsPerEar,EarInternodeLen,PredSeedPerPlant,PredTotalSeedWeight,SeedWeight,CulmDiam,BranNum,MalePerc,Clustering,ASI,FruitcaseWt,ProporYoked,ProporNonShatter,ProporPairedSpikelets,Perc_Germ,FC_Length_mm,FC_LWR,FC_Triangularity,com,dr,TypeYear
A0351,2014,Self,0.5866141,PC_N07_ID1,PC_N07_ID1,3600.06,3,97,E,69,65,110,44.5,5,4,8,2,160,80,29,2.75,3.689162,5.5,5.27,2911,56,0.0193,1.44,10,100,0.05,4,0.0386,0,0,0,65,5.683216,1.545982,1.430879342,PC_N07_ID1xPC_N07_ID1,1,Self2014
A0352,2014,Outcross,0.0181484,PC_J10_ID1,PC_M59_ID1,3213.46,3,96,E,67,63,148,41.5,5.8,4,14,3,520,173.33,41.5,4.5,3.382556,9,4.61,5089,100,0.0196,1.89,9,100,0.0269,4,0.0392,0,0,0,85,5.755054,1.705378,1.46226247,PC_J10_ID1xPC_M59_ID1,1,Outcross2014
A0353,2014,Self,0.7111015,PC_N57_ID2,PC_N57_ID2,3617.21,3,95,E,NA,79,36,29,2,0,1,2,60,30,35,3.5,NA,7,5,979,NA,NA,0.4,3,0,0.0167,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC_N57_ID2xPC_N57_ID2,1,Self2014
A0354,2014,Self,0.5810022,PC_I52_ID1,PC_I52_ID1,2575.32,3,94,E,62,57,110,45.5,4.9,9,9,2,170,85,45,4.5,3.779285,9,5,5903,145,0.0246,1.23,11,50,0.0529,5,0.0493,0.034,0.034,0.008,90,5.819617,1.543286,1.450121429,PC_I52_ID1xPC_I52_ID1,1,Self2014
A0355,2014,Outcross,-0.0237543,PC_N09_ID1,PC_N13_ID1,3013.9,3,93,E,62,59,116,61.5,6.9,5,12,3,650,216.67,48.5,5.25,4.0734,10.5,4.62,5377,147,0.0273,1.64,9,100,0.0185,3,0.0546,0,0,0,95,6.094736,1.506193,1.389334347,PC_N09_ID1xPC_N13_ID1,1,Outcross2014
A0356,2014,Outcross,0.0167929,PC_N11_ID1,PC_M05_ID1,2534.55,3,92,E,58,53,118,53,6.2,6,9,2,330,165,47,5,3.570421,10,4.7,4959,105,0.0213,1.57,8,0,0.0273,5,0.0425,0.011,0.005,0,95,5.719492,1.607613,1.412099896,PC_M05_ID1xPC_N11_ID1,-1,Outcross2014
A0358,2014,Self,0.6874024,PC_J48_ID2,PC_J48_ID2,3001.7,3,90,E,86,77,99,46.5,3.9,2,4,2,90,45,37,4,3.398762,8,4.63,2510,NA,NA,0.89,6,0,0.0444,9,NA,NA,NA,NA,NA,6.783213,1.995998,1.402229184,PC_J48_ID2xPC_J48_ID2,1,Self2014
A0359,2014,Self,0.3691345,PC_O59_ID2,PC_O59_ID2,3139.66,3,89,E,76,68,153,34.5,4.9,5,6,2,120,60,47.5,4.5,4.24113,9,5.28,4578,148,0.0324,1.85,10,0,0.05,8,0.0647,0.031,0.123,0,85,7.272358,1.726163,1.393625138,PC_O59_ID2xPC_O59_ID2,1,Self2014
A0360,2014,Outcross,-0.00771207,PC_I52_ID1,PC_I06_ID1,3385.34,3,88,E,65,63,132,51.5,4.8,6,11,2,360,180,34.5,3.25,3.833187,6.5,5.31,3473,82,0.0238,1.32,8,100,0.0306,2,0.0475,0,0,0,75,6.187436,1.619784,1.392999083,PC_I06_ID1xPC_I52_ID1,-1,Outcross2014
A0361,2014,Outcross,-0.025438,PC_J51_ID1,PC_N13_ID1,3663.48,3,87,E,62,57,117,46,6.2,5,11,3,490,163.33,39,4.25,3.786099,8.5,4.59,4426,103,0.0234,1.38,9,100,0.0224,5,0.0467,0,0,0,75,6.295565,1.669711,1.356229343,PC_J51_ID1xPC_N13_ID1,1,Outcross2014
